id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
415,NA,32.6,NA
416,NA,32.6,NA
417,NA,24.5,NA
418,NA,30.6,NA
419,NA,51,NA
420,NA,45.9,NA
421,NA,76.5,NA
422,NA,76.5,NA
423,NA,30.6,NA
424,NA,30.6,NA
425,NA,51,NA
426,NA,40.8,1550
427,NA,30.6,NA
428,NA,45.9,1500
429,NA,45.9,NA
431,NA,76.5,NA
440,NA,30.6,NA
441,NA,30.6,NA
442,NA,30.6,NA
443,NA,30.6,NA
444,NA,30.6,NA
445,NA,51,NA
446,NA,51,NA
447,NA,35.7,NA
448,NA,51,NA
449,NA,51,NA
450,NA,51,NA
451,NA,45.9,NA
452,NA,45.9,NA
453,NA,76.5,NA
454,NA,51,1600
455,NA,45.9,1750
456,NA,45.9,1750
457,NA,45.9,1750
458,NA,30.6,1350
459,NA,30.6,1350
461,NA,51,1800
462,NA,51,NA
463,NA,30.6,1350
464,NA,30.6,1350
465,NA,45.9,1500
467,NA,56.1,2350
468,NA,56.1,2350
469,NA,66.3,2750
470,NA,66.3,2750
471,NA,76.5,1800
473,NA,30.6,1350
474,NA,30.6,1350
475,NA,76.5,1800
476,NA,76.5,NA
477,NA,76.5,1800
478,NA,76.5,1800
479,NA,22.4,1480
480,NA,45.9,1750
481,NA,22.4,1480
482,NA,30.6,1350
483,NA,30.6,1350
484,NA,30.6,1350
485,NA,30.6,1350
486,NA,40.8,1550
487,NA,40.8,1550
488,NA,51,1800
489,NA,86.7,1600
492,NA,32.6,3700
496,NA,45.9,1750
499,NA,61.2,2600
500,NA,61.2,2600
501,NA,45.9,1500
502,NA,45.9,1500
503,NA,66.3,1500
504,NA,76.5,NA
505,NA,40.8,1550
506,NA,27.5,1350
507,NA,27.5,1350
509,NA,40.8,1550
510,NA,29.6,1350
511,NA,45.8,1380
512,NA,76.5,1800
513,NA,5.7,4500
514,NA,32.6,3700
515,NA,56.1,2350
516,NA,76.5,1800
517,NA,76.5,1800
520,NA,28.5,1350
523,NA,35.7,1450
524,NA,27.5,1350
525,NA,35.7,1450
526,NA,51,1520
527,NA,63.2,2000
528,NA,63.2,2000
529,NA,63.2,2000
530,NA,77.5,2000
531,NA,51,1500
533,NA,35.7,1450
534,NA,66.3,1800
535,NA,5.7,4500
536,NA,5.7,4500
537,NA,56.1,1850
538,NA,61.2,4000
541,NA,28.5,1350
542,NA,51,1520
543,NA,76.5,2200
544,NA,51,1520
548,NA,35.7,1450
549,NA,35.7,1450
550,NA,35.7,1450
551,NA,66.3,1800
552,NA,69.3,1500
554,NA,27.5,1250
555,NA,40.8,1200
556,NA,45.9,1250
558,NA,45.9,1300
560,NA,27.5,1250
561,NA,47.4,1400
562,NA,35.7,1250
563,NA,28.5,1250
564,NA,40.8,1200
565,NA,27.5,1250
566,NA,76.5,2200
571,NA,35.7,1250
572,NA,35.7,1250
573,NA,66.3,2000
574,NA,5.7,4500
575,NA,5.7,4500
576,NA,32.6,3700
577,NA,56.1,1850
578,NA,56.1,1850
579,NA,69.3,1500
582,NA,27.5,1250
583,NA,40.8,1200
584,NA,35.7,1250
585,NA,40.8,1200
586,NA,57.1,1500
587,NA,75.5,2000
588,NA,66.3,2000
589,NA,31.6,1350
590,NA,22.4,1350
593,NA,27.5,1250
594,NA,35.7,1250
595,NA,45.9,1300
596,NA,35.7,1250
597,NA,40.8,1200
598,NA,40.8,1200
599,NA,66.3,2000
600,NA,66.3,NA
601,NA,27.5,1250
602,NA,66.3,2000
603,NA,40.8,1300
604,NA,27.5,1250
605,NA,27.5,1250
606,NA,35.7,1250
607,NA,45.9,1300
608,NA,45.9,1300
609,NA,35.7,1250
