angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,86,86,101,1204,1725,1630,4462,2710,1998,125,NA,NA,1001,NA,NA,NA,125.2,1001,NA,NA,125.2,2,15.5,15.9,2,15.5,15.9,1968,312,NA,NA,NA,NA,6.1,3.2,NA,NA,NA,NA,NA,NA,407,NA,407,6.1,3.2,610,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,7993,NA,50,100,NA,NA,NA,12,NA,NA,2.04,0.734,NA,NA,749
NA,NA,NA,NA,NA,86,86,101,1190,1725,1630,4462,2710,1998,115,NA,NA,1001,NA,NA,NA,125.2,1001,NA,NA,125.2,1.9,14.9,15.9,1.9,14.9,15.9,1888,312,NA,NA,NA,NA,6.3,3.4,NA,NA,NA,NA,NA,NA,407,NA,407,6.3,3.4,630,340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,7993,NA,50,100,NA,NA,NA,12,NA,NA,2.02,0.717,NA,NA,750
NA,NA,NA,NA,NA,56.6,81,98,1125,1550,1620,4400,2550,1960,NA,NA,NA,561,NA,NA,NA,160.3,561,NA,NA,160.3,2.8,24.9,17.8,2.8,24.9,17.8,1550,252,NA,NA,NA,NA,7.5,4.2,NA,NA,NA,NA,NA,NA,341,NA,341,7.5,4.2,900,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,3499,NA,70,120,NA,NA,NA,12,NA,NA,1.87,0.542,NA,NA,751
NA,NA,NA,NA,NA,NA,NA,118,1495,1580,1590,4780,2718,1837,NA,120,NA,110,6000,4500,NA,73.4,110,197,235,73.4,13.64,108.7,9.2,13.64,108.7,9.2,1500,NA,NA,NA,33.1,33.1,NA,NA,NA,NA,15,16.8,NA,NA,185,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,15,16.8,720,806,NA,NA,NA,NA,7.3,1498,NA,450,48,NA,NA,NA,NA,10.2,NA,NA,NA,18.3,NA,752
NA,NA,NA,NA,NA,NA,NA,118,1495,1580,1590,4780,2718,1837,NA,120,NA,110,6000,4500,NA,73.4,110,179,209,73.4,13.64,108.7,9.2,13.64,108.7,9.2,1500,NA,NA,NA,32.2,32.2,NA,NA,NA,NA,15,16.8,NA,NA,185,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,15,16.8,720,806,NA,NA,NA,NA,7.9,1498,NA,450,48,NA,NA,NA,NA,10.2,NA,NA,NA,8.3,NA,753
NA,31,19.3,30,NA,NA,NA,172,1925,1660,1660,5457,3260,1971,NA,210,NA,180,4500,3000,NA,120.2,180,204,435,120.2,14.81,106.6,16.7,14.81,106.6,16.7,2665,835,2500,NA,34.7,NA,NA,NA,NA,NA,10,11,NA,NA,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,10,11,570,627,NA,NA,NA,NA,5.7,1498,NA,NA,57,NA,NA,NA,NA,13.5,NA,NA,NA,29.6,NA,754
NA,19,21,NA,NA,NA,NA,118,1680,1630,1630,4705,2765,1890,NA,180,NA,105,6000,4500,NA,70.1,105,194,235,70.1,17.05,129.7,9.2,17.05,129.7,9.2,1790,410,NA,NA,33.1,40.8,NA,NA,NA,NA,12.1,14.9,NA,NA,170,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,12.1,14.9,690,849,NA,NA,NA,NA,8.5,1498,NA,574,57,NA,NA,NA,NA,11,NA,NA,NA,18.3,NA,755
NA,NA,NA,NA,NA,NA,NA,135,1710,1565,1565,4738,2712,1860,NA,NA,NA,110,6000,4500,NA,73.4,110,179,235,73.4,15.45,123.2,9.2,15.45,123.2,9.2,1700,410,NA,NA,32.2,40.8,NA,NA,NA,NA,13.2,15.1,NA,NA,170,NA,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,13.2,15.1,686,785,NA,NA,NA,NA,8.5,1498,NA,574,52,NA,NA,NA,NA,11.6,NA,NA,NA,8.3,NA,756
NA,NA,NA,NA,NA,NA,NA,140,1675,NA,NA,4310,2620,1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,8.7,52.03,NA,8.7,52.03,NA,1540,NA,NA,NA,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,NA,NA,440,NA,NA,NA,NA,NA,11.1,NA,NA,NA,45,NA,757
NA,17,23,NA,NA,NA,NA,103,1570,1530,1530,4290,2700,1770,NA,120,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,8.13,52.47,NA,8.13,52.47,NA,1658,410,NA,NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,250,NA,NA,NA,NA,NA,10.5,NA,2.36,0.708,60.5,NA,758
NA,17,23,NA,NA,NA,NA,117,1570,1530,1530,4125,2700,1770,NA,120,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,14.79,76.78,NA,14.79,76.78,NA,1405,410,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,250,NA,NA,NA,NA,NA,10.5,NA,2.36,0.708,44.9,NA,759
NA,17,23,NA,NA,NA,NA,117,1570,1530,1530,4125,2700,1770,NA,120,NA,NA,NA,NA,NA,NA,NA,95,NA,NA,14.79,76.78,NA,14.79,76.78,NA,1405,410,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,250,NA,NA,NA,NA,NA,10.5,NA,2.36,0.708,44.9,NA,760
NA,NA,NA,NA,NA,NA,NA,96,1580,1500,1500,3780,2500,1715,NA,110,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,16.52,89.78,NA,16.52,89.78,NA,1239,329,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,280,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9,NA,NA,230,NA,NA,NA,NA,NA,9.9,39,NA,NA,38,9.6,761
NA,NA,NA,NA,NA,NA,NA,96,1540,NA,NA,3780,2500,1715,NA,130,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,15.73,85.51,NA,15.73,85.51,NA,1180,450,NA,NA,13.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,213,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,121,NA,NA,NA,NA,NA,9,NA,NA,NA,30.1,9.6,762
NA,13,14,NA,NA,NA,NA,106,1460,1620,1625,4800,2920,1875,NA,120,NA,NA,NA,NA,NA,NA,NA,313,530,NA,4.12,36.3,NA,4.12,36.3,NA,2185,446,NA,NA,36.7,60.2,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,NA,400,NA,NA,NA,NA,NA,11.4,NA,2.33,0.51,82.5,NA,763
NA,19,21,NA,NA,NA,NA,118,1680,1630,1630,4705,2765,1890,NA,180,NA,110,6000,4500,NA,73.4,110,179,235,73.4,15.45,123.2,9.2,15.45,123.2,9.2,1700,NA,NA,NA,32.2,40.8,NA,NA,NA,NA,13.2,15.1,NA,NA,140,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,13.2,15.1,686,785,NA,NA,NA,NA,8.5,1498,NA,574,52,NA,NA,NA,NA,11.1,NA,NA,NA,8.3,NA,764
NA,15,18,16.7,NA,NA,NA,117,1650,1590,1590,4390,2800,1850,NA,125,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,12.06,89.62,NA,12.06,89.62,NA,1640,NA,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,400,NA,NA,NA,NA,NA,11.2,NA,NA,NA,53,NA,765
NA,NA,NA,NA,NA,NA,NA,118,1680,1630,1630,4705,2765,1890,NA,180,NA,110,6000,4500,NA,73.4,110,179,NA,73.4,15.45,123.2,9.2,15.45,123.2,9.2,1700,NA,NA,NA,32.2,NA,NA,NA,NA,NA,23.3,25,NA,NA,186,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,23.3,25,932,1000,NA,NA,NA,NA,7.9,1498,NA,574,40,NA,NA,NA,NA,11.1,NA,NA,NA,8.3,NA,766
NA,22,20,NA,NA,NA,NA,106,1725,NA,NA,mm,2820,1950,150,NA,NA,NA,NA,NA,NA,NA,NA,272,517,NA,4.79,35.77,NA,4.79,35.77,NA,kg,NA,NA,NA,35.7,69.3,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,235,600,NA,NA,NA,36,NA,NA,86.4,NA,767
NA,NA,NA,NA,NA,NA,NA,118,1615,NA,NA,4455,2720,1875,NA,175,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,8.33,53.8,NA,8.33,53.8,NA,1700,NA,NA,NA,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,2.57,0.745,60.5,NA,768
NA,21,22,11.3,NA,NA,NA,117,1875,1490,1533,4460,2725,1720,NA,120,NA,NA,NA,NA,NA,NA,NA,109,NA,NA,14.79,88.09,NA,14.79,88.09,NA,1612,808,NA,NA,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9,NA,NA,3300,NA,NA,NA,NA,NA,11.4,NA,NA,NA,44.9,NA,769
NA,NA,NA,NA,NA,NA,NA,110,1495,1640,1640,4980,2920,1910,125,NA,NA,NA,NA,NA,NA,NA,NA,272,494,NA,4.39,31.31,NA,4.39,31.31,NA,2170,NA,NA,NA,35.7,69.3,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,186,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,NA,NA,410,NA,NA,NA,NA,NA,12.3,32.8,2.43,0.566,76.9,NA,770
NA,NA,NA,NA,NA,85.6,95,89,1421,1512,1548,4643,2775,1806,NA,NA,NA,340,NA,NA,7200,93.4,340,NA,NA,93.4,4.6,39.8,10.8,4.6,39.8,10.8,1570,NA,NA,NA,NA,NA,10,6,NA,NA,NA,NA,NA,NA,278,NA,278,10,6,600,360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,3640,NA,290,60,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,771
NA,15.9,19.5,NA,NA,92,103.25,151,1880,1745,1744,5697,3302,2045,205,NA,NA,426,NA,NA,6000,69.1,426,NA,NA,69.1,6.2,41.3,10.3,6.2,41.3,10.3,2628,678,3628,NA,NA,NA,5.8,3.9,NA,NA,NA,NA,NA,NA,180,NA,180,5.8,3.9,679,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,6162,NA,900,117,NA,NA,NA,13.1,NA,NA,3.27,1.373,NA,NA,772
NA,NA,NA,NA,NA,92,103.25,100,1455,1569,1575,4868,2880,1842,NA,NA,NA,564,NA,NA,6200,91.5,564,NA,NA,91.5,3.5,25.8,12.4,3.5,25.8,12.4,1965,NA,NA,NA,NA,NA,6.8,3.5,NA,NA,NA,NA,NA,NA,282,NA,282,6.8,3.5,462,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6162,NA,373,68,NA,NA,NA,10.4,NA,NA,2.28,0.809,NA,NA,773
NA,NA,NA,NA,NA,80.2,89,153,1670,1622,1617,4834,2807,1912,179,NA,NA,269,NA,NA,NA,89.8,269,NA,NA,89.8,7.3,63.4,10.3,7.3,63.4,10.3,1954,526,1590,NA,NA,NA,9.4,5.8,NA,NA,NA,NA,NA,NA,190,NA,190,9.4,5.8,743,458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2994,NA,500,79,NA,NA,NA,12.2,NA,NA,2.71,0.976,NA,NA,774
NA,NA,NA,NA,NA,85.6,94,118,1472,1570,1575,4866,2880,1842,NA,NA,NA,309,NA,NA,6950,86.7,309,NA,NA,86.7,5.7,46.6,10.6,5.7,46.6,10.6,1757,NA,NA,NA,NA,NA,9.5,5.1,NA,NA,NA,NA,NA,NA,230,NA,230,9.5,5.1,646,347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3564,NA,373,68,NA,NA,NA,10.4,NA,NA,2.3,0.782,NA,NA,775
NA,15.9,21.95,NA,NA,92,103.25,172,1916,1732,1702,5660,3302,2010,235,NA,NA,409,NA,NA,6000,66.4,409,NA,NA,66.4,6.3,44.9,9.3,6.3,44.9,9.3,2588,678,NA,NA,NA,NA,5.8,3.9,NA,NA,NA,NA,NA,NA,170,NA,170,5.8,3.9,679,456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,6162,NA,900,117,NA,NA,NA,13.1,NA,NA,3.27,1.373,NA,NA,776
NA,NA,NA,NA,NA,94,87.5,98,1140,1505,1465,3300,2315,1685,100,NA,NA,261,NA,NA,NA,115.4,261,NA,NA,115.4,2.2,20.8,12.2,2.2,20.8,12.2,575,NA,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,250,NA,250,9,7,324,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2261,NA,75,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777
NA,NA,NA,NA,NA,60.4,68,101,1140,1505,1465,3100,2225,1575,100,NA,NA,80,NA,NA,7700,121.6,80,NA,NA,121.6,6.1,45,16.6,6.1,45,16.6,490,NA,NA,NA,NA,NA,13,9,NA,NA,NA,NA,NA,NA,161,NA,161,13,9,468,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,658,NA,75,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,778
NA,50,42,31,17,120,102,NA,1855,1410,1380,3495,2115,1640,240,NA,600,84,NA,NA,NA,28.6,84,NA,NA,28.6,20.9,68.8,8.7,20.9,68.8,8.7,1755,750,NA,NA,NA,NA,NA,NA,11.7,10.7,NA,NA,NA,NA,106,NA,106,NA,NA,NA,NA,11.7,10.7,620,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,2940,NA,50,53,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,779
NA,50,42,31,19.8,NA,NA,NA,1840,1385,1380,3495,2103,1640,240,NA,600,78,NA,NA,NA,19.9,78,NA,NA,19.9,21.2,66,6.4,21.2,66,6.4,1650,750,NA,NA,NA,NA,NA,NA,11.2,10.5,NA,NA,NA,NA,120,NA,120,NA,NA,NA,NA,11.2,10.5,672,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3922,NA,50,60,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,780
NA,NA,NA,NA,NA,69,94,111,1260,NA,NA,3880,2100,1660,NA,NA,NA,115,NA,NA,NA,60.1,115,NA,NA,60.1,6.9,48.5,8.6,6.9,48.5,8.6,795,NA,NA,NA,NA,NA,11,7,NA,NA,NA,NA,NA,NA,180,NA,180,11,7,495,315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1915,NA,15,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781
NA,NA,NA,NA,NA,92.8,82.5,117,1180,NA,NA,3708,2160,1549,NA,NA,NA,125,NA,NA,NA,63,125,NA,NA,63,5.4,38.7,8.8,5.4,38.7,8.8,677,NA,NA,NA,NA,NA,12.6,8,NA,NA,NA,NA,NA,NA,200,NA,200,12.6,8,517,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,1984,NA,150,41,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,782
NA,NA,NA,NA,NA,74,65.5,116,1810,NA,NA,3880,2500,1485,NA,NA,NA,50,NA,NA,NA,51.5,50,NA,NA,51.5,17.6,113.5,8,17.6,113.5,8,880,800,NA,NA,NA,NA,8.4,8.2,NA,NA,NA,NA,NA,NA,98,NA,98,8.4,8.2,336,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,970,NA,1000,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,783
NA,NA,NA,NA,NA,74,65.5,116,1895,NA,NA,3600,2350,1475,NA,NA,NA,50,5300,3500,NA,51.5,50,NA,NA,51.5,19.5,125.8,8,19.5,125.8,8,975,600,NA,NA,NA,NA,8.4,8.2,NA,NA,NA,NA,NA,NA,98,NA,98,8.4,8.2,336,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,970,NA,100,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,784
NA,NA,NA,NA,NA,74,65.5,116,1810,NA,NA,4320,2750,1475,165,NA,NA,53,NA,NA,NA,54.6,53,NA,NA,54.6,19.3,132.3,8,19.3,132.3,8,1025,1000,NA,NA,NA,NA,8.4,8.2,NA,NA,NA,NA,NA,NA,98,NA,98,8.4,8.2,336,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,970,NA,600,40,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,785
NA,NA,NA,NA,NA,74,65.5,116,1810,NA,NA,4320,2750,1475,165,NA,NA,53,NA,NA,NA,54.6,53,NA,NA,54.6,19,129.7,8,19,129.7,8,1005,1020,NA,NA,NA,NA,8.6,8.6,NA,NA,NA,NA,NA,NA,98,NA,98,8.6,8.6,344,344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,970,NA,1000,40,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,786
NA,NA,NA,NA,NA,74,65.5,116,1810,NA,NA,4320,2750,1475,165,NA,NA,53,NA,NA,NA,54.6,53,NA,NA,54.6,19.2,131,8,19.2,131,8,1015,1000,NA,NA,NA,NA,8.4,8.2,NA,NA,NA,NA,NA,NA,98,NA,98,8.4,8.2,336,328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,970,NA,800,40,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,787
NA,21,27,NA,NA,80.5,77,135,1705,1550,1550,4500,2670,1842,NA,173,600,NA,5500,1750,NA,100.1,NA,NA,NA,100.1,9.77,68.5,14.3,9.77,68.5,14.3,1466,422,NA,NA,NA,NA,11.7,10,NA,NA,NA,NA,8.3,6.9,180,NA,180,11.7,10,597,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,6.9,423,352,10.7,1499,375,525,51,NA,NA,NA,NA,11,39.7,NA,NA,NA,NA,788
NA,23.4,31.5,NA,NA,80.5,77,129,1645,1550,1550,4338,2631,1830,NA,150,NA,NA,5500,1750,NA,100.1,NA,NA,NA,100.1,9.68,67.9,14.3,9.68,67.9,14.3,1452,337,NA,NA,NA,NA,11.5,9.9,NA,NA,NA,NA,8.1,6.9,193,NA,193,11.5,9.9,587,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9,413,352,10.3,1499,375,340,51,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,789
NA,23.4,31.5,NA,NA,80.5,77,124,1645,1550,1550,4338,2631,1830,NA,150,NA,150,5500,1750,NA,100.1,150,10,160,100.1,9.69,67.9,14.3,9.69,67.9,14.3,1454,337,NA,NA,4.1,25.5,10.9,11.1,NA,NA,NA,NA,8.3,8.1,193,NA,193,10.9,11.1,556,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,8.1,423,413,9.2,1499,375,330,51,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,790
NA,23.4,31.5,NA,NA,80.5,77,124,1645,1550,1550,4338,2631,1830,NA,150,NA,NA,5500,1750,NA,100.1,NA,NA,NA,100.1,9.68,67.9,14.3,9.68,67.9,14.3,1452,337,NA,NA,NA,NA,11.5,9.9,NA,NA,NA,NA,8.1,6.9,193,NA,193,11.5,9.9,587,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.9,413,352,10.3,1499,375,340,51,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,791
NA,21,27,NA,NA,80.5,77,135,1705,1550,1550,4500,2670,1842,NA,173,600,150,5500,1750,NA,100.1,150,10,160,100.1,10.04,70.4,14.3,10.04,70.4,14.3,1506,399,NA,NA,4.1,25.5,11.2,11.1,NA,NA,NA,NA,8.5,8.1,180,NA,180,11.2,11.1,571,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,8.1,434,413,9.7,1499,375,475,51,NA,NA,NA,NA,11,39.7,NA,NA,NA,NA,792
NA,20,23,NA,35,80.5,77,129,1747,NA,NA,4722,2710,1860,NA,212,450,147,5500,1750,NA,98.1,147,75,317,98.1,12.44,81.3,15,12.44,81.3,15,1829,499,NA,NA,16.8,56.6,NA,NA,NA,NA,10.9,11,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,10.9,11,491,495,NA,NA,NA,NA,7,1499,375,NA,45,650,150,NA,NA,NA,NA,NA,NA,19.3,NA,793
NA,20,23,NA,35,85.8,77,129,1705,NA,NA,4700,2710,1860,NA,212,450,187,5500,2000,NA,117,187,NA,NA,117,8.56,57.1,17.5,8.56,57.1,17.5,1600,670,NA,NA,NA,NA,12,10.1,NA,NA,NA,NA,NA,NA,180,NA,180,12,10.1,612,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1598,400,NA,51,650,150,NA,NA,NA,NA,NA,NA,NA,NA,794
NA,20,23,NA,35,85.8,77,129,1705,NA,NA,4700,2710,1860,NA,212,450,187,5500,2000,NA,117,187,NA,NA,117,8.56,57.1,17.5,8.56,57.1,17.5,1600,670,NA,NA,NA,NA,12,10.1,NA,NA,NA,NA,NA,NA,180,NA,180,12,10.1,612,515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1598,400,NA,51,650,150,NA,NA,NA,NA,NA,NA,NA,NA,795
NA,14.8,20.1,NA,NA,80.5,77,103,1493,NA,NA,4642,2650,1814,NA,148,NA,150,5500,1750,NA,100.1,150,10,160,100.1,9.19,64.4,14.3,9.19,64.4,14.3,1378,383,NA,NA,4.1,25.5,13.5,12.5,NA,NA,NA,NA,9.9,8.9,190,NA,190,13.5,12.5,648,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,8.9,475,427,9,1499,375,405,48,NA,NA,NA,NA,11.3,NA,2.3,0.644,NA,NA,796
NA,14.8,20.1,NA,NA,80.5,77,103,1493,NA,NA,4675,2650,1814,NA,148,NA,NA,5500,4000,NA,100.1,NA,NA,NA,100.1,9.09,63.7,14.3,9.09,63.7,14.3,1364,397,NA,NA,NA,NA,13.4,10.6,NA,NA,NA,NA,9.2,7.4,190,NA,190,13.4,10.6,643,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,7.4,442,355,9.9,1499,375,570,48,NA,NA,NA,NA,11.3,NA,2.3,0.644,NA,NA,797
22.5,20.4,31,NA,NA,84,71,113,1570,NA,NA,4200,2555,1760,157,NA,NA,102,5500,2000,NA,102.3,102,NA,NA,102.3,12.2,73,17.2,12.2,73,17.2,1249,386,NA,NA,NA,NA,12.2,NA,NA,NA,NA,NA,8.5,7.8,172,NA,172,12.2,NA,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,7.8,425,390,14.2,cm³,NA,420,50,NA,NA,NA,NA,10.5,NA,2.35,0.893,NA,NA,798
